interest_expense,date,total_assets,state,bank_id,gross_loans,interest_income,net_loans,charge_offs,total_deposits,id,net_interest_margin,charge_off_rate
403.0,2010-03-31,120151,ARKANSAS,1028,56898,1496.0,55391,60.52668961372453,91515,1028_20100331,0.0091,0.0011
99.0,2010-03-31,40488,TENNESSEE,10306,14034,440.0,13726,38.546434890055885,35609,10306_20100331,0.0084,0.0027
1636.0,2010-03-31,667239,TENNESSEE,10307,491833,8461.0,484846,82.37498810705014,588584,10307_20100331,0.0102,0.0002
1487.0,2010-03-31,320240,TENNESSEE,10308,215763,3465.0,212551,84.48275176775005,251591,10308_20100331,0.0062,0.0004
190.0,2010-03-31,62694,TENNESSEE,10315,24919,708.0,24555,45.49328392774433,53975,10315_20100331,0.0083,0.0018
94.0,2010-03-31,36509,TENNESSEE,10316,11517,392.0,11320,37.396762471093496,30270,10316_20100331,0.0082,0.0032
377.0,2010-03-31,169430,TENNESSEE,10317,74505,1964.0,73397,52.865209812875435,138838,10317_20100331,0.0094,0.0007
1577.0,2010-03-31,392830,TENNESSEE,10318,252087,4039.0,246442,70.13865962363816,351364,10318_20100331,0.0063,0.0003
272.0,2010-03-31,78854,TENNESSEE,10319,60380,1262.0,59517,87.81297490299069,67777,10319_20100331,0.0126,0.0015
79.0,2010-03-31,52087,TEXAS,10327,35787,648.0,35265,77.40852119323046,45557,10327_20100331,0.0109,0.0022
95.0,2010-03-31,58026,TEXAS,10330,26358,672.0,26032,49.751548046785416,52324,10330_20100331,0.0099,0.0019
0.0,2010-03-31,3533,TEXAS,10334,123,12.0,120,4.50281425891182,2665,10334_20100331,0.0034,0.0366
349.0,2010-03-31,181195,TEXAS,10344,99261,1949.0,98735,62.15886126552633,158843,10344_20100331,0.0088,0.0006
219.0,2010-03-31,91389,TEXAS,10345,49355,1094.0,48938,58.60276859702065,83508,10345_20100331,0.0096,0.0012
76.0,2010-03-31,29380,TEXAS,10352,18503,377.0,18302,70.20329881089374,26070,10352_20100331,0.0102,0.0038
2535.0,2010-03-31,1335592,TEXAS,10359,802582,14474.0,792263,69.16772231743208,1145423,10359_20100331,0.0089,0.0001
3131.0,2010-03-31,868480,VIRGINIA,10363,673570,16572.0,648953,107.61573260279789,603028,10363_20100331,0.0155,0.0002
269.0,2010-03-31,91323,WISCONSIN,10374,53414,1038.0,52593,68.36741326192364,76927,10374_20100331,0.0084,0.0013
